restaurant_name,latitude,longitude,avg_price,ratings
Route 46,50.925087,3.9524026,11.0,4.5
Ruby Frituur,51.2179472,2.8950886,11.0,3.2
Snack Aladdin,50.8330455,4.3740091,11.0,4.3
Snack Altan,50.8672003,4.3589807,11.0,3.3
Snack Chez Zeki,50.8548619,4.3673975,11.0,4.7
Snack Denderleeuw,50.8922625,4.0729595,11.0,4.4
Snack Frituur Hanoodi,50.967342,3.9873674,11.0,4.1
Sultan Testelt,51.0184101,4.9488446,11.0,4.2
Tasty Food Vesalius,50.8752133,4.7079149,11.0,3.5
The Food Affair,51.3491317,3.2893011,11.0,4.4
Toronto Pizza & Burger,50.7709132,3.8756524,11.0,4.0
Venus,50.9995553,5.3320171,11.0,4.1
Zelem Pizzeria,50.9780074,5.1217436,11.0,4.7
Pizza Lacasa,51.127893,4.2160941,10.9625,3.9
Pizza@Home,51.2916329,4.4938601,10.95,3.2
Heist Kebab,51.0756262,4.7252205,10.928571428571429,4.5
Pizzeria La Familia,51.17228,4.4470744,10.928571428571429,4.5
Magic Kebap-Kessenich,51.1522604,5.8106697,10.916666666666666,4.4
Layana Food,51.244299,4.4447138,10.9,3.4
Mam's burger,50.9008109,4.3607925,10.9,4.3
Pitta Number 1 Bredene,51.2486088,2.9667543,10.9,4.7
Pizza Pamukkale,51.1272762,4.2120871,10.882352941176471,3.8
Elite Kebab,51.1287558,4.5771098,10.875,4.0
Nazar Side,50.8096291,4.9320733,10.875,3.3
Soyy Eethuis & Gelateria,51.05137,5.239609,10.875,4.3
Kebap Mustafa,50.8926649,5.1141853,10.833333333333334,4.7
Munis Restaurant,51.0194736,4.4822218,10.833333333333334,3.9
Pitta Number 1,51.3426788,3.2880538,10.833333333333334,4.4
Pitta Reco,51.1892163,3.2116095,10.833333333333334,4.1
Pizza Delicia,51.0014269,4.3023356,10.833333333333334,3.9
Rana,51.1736447,5.5797481,10.818181818181818,4.1
Anatolia,50.986765,5.1927006,10.8,4.1
Frituur brother's,50.8974472,4.4350421,10.8,4.4
Napoli Heers,50.752292,5.302248,10.8,3.5
Pitta Cem,51.3142247,3.1268987,10.8,4.7
Chef Tielen,51.2438076,4.8955912,10.777777777777779,3.1
Pita Vrede,50.9387904,4.0332502,10.75,4.8
Pizzeria Grissini & Kebab House,51.0000089,4.5861227,10.75,4.4
Pizzeria Saray,50.938774,4.619825,10.75,4.8
Pizzaria Mr. Sebino,51.2251981,3.2314266,10.714285714285714,3.8
Goody's,51.1852106,3.5627169,10.7,4.5
Pizza Verona,51.2439049,4.5922835,10.7,3.1
Snack O Tac,50.8695437,4.3328935,10.7,4.5
Pitta Mersan,51.1038131,3.9879605,10.6875,4.3
Duffelse Kebab,51.0954102,4.5099468,10.685714285714285,3.2
Dunya Döner,51.2220515,4.463011,10.666666666666666,0.0
Eethuis Zemzem,50.8895158,5.6507451,10.666666666666666,4.7
Jerusalem,50.9664556,5.5000842,10.666666666666666,4.5
Kebap Anatolia,51.3249431,4.9393244,10.666666666666666,3.9
Pitta Maldegem,51.2139925,3.4468523,10.666666666666666,3.9
Posh Kebab,51.2334662,2.9214644,10.666666666666666,4.2
Rinascente Eethuis,51.2202396,4.4594739,10.666666666666666,4.3
