name,latitude,longitude
Frituur Natalie,50.9796447,5.710942
Sofra,50.9644592,5.69626
Pizza Hut Delivery,50.985642,5.6995297
Burger Kofte,50.9886723,5.6955838
Restaurant Di Trapani,50.9591359,4.2430556
Ô'Kebab,50.69827,4.402186
Donca,50.7067478,4.4359849
Bella Italia,50.7307928,4.482034
Pala's Food,50.873455,4.3134475
Pizzeria Side,50.8278784,4.3946412
La Frite Dorée Watermael-Boitsfort,50.8087296,4.403656
Pizza Italia,50.8283102,4.3933062
Da Maurizio,50.8175012,4.4217231
Amore & Fantasia,50.8154374,4.4170591
Omonni Korean Fried Chicken,50.8267923,4.4074136
Little Rice,50.8099038,4.4028325
Maza'j,50.8156493,4.426498
Snack Thieffry,50.8307916,4.3998691
Sushi & Wok,50.8284343,4.3931218
Liborio,50.8224266,4.4036377
Snack Aquarium,50.8243819,4.4004368
Little Bamboo,50.8178432,4.4199745
Punto Pasta Ixelles,50.8330089,4.3751999
M & M,50.816752,4.4255233
Storia Italiana,50.809298,4.4024371
De Masala Box,50.8245628,4.3995011
Agra,50.8248545,4.3996489
Domino's Pizza,51.2331238,2.9162294
Taste of India,51.2350678,2.9191892
Oli's Friet & Eat,51.2301212,2.9115785
Ristorante Pizzeria Benvenuto,51.2202656,2.887625
Ohana,51.2321658,2.9199729
Mamacita,51.2302524,2.9100374
Steakhouse,51.2343551,2.9211001
Sushi Oostende,51.2229187,2.8967336
Frituur Opex,51.2362582,2.9410876
Flavours of India,51.224864,2.9102942
Den Oude Lepel,51.2324505,2.9165314
Traiteur Piemonte,51.2313405,2.9166562
Pizza Hut Delivery,51.221713,2.9084221
Bavet,51.2311114,2.9117851
Delight Sushi & Bar,51.2310302,2.9169871
Villa Borghèse,51.2313293,2.9186504
Hawaiian Poke Bowl,51.23228,2.917142
The Hungry Queen,51.2297828,2.9097197
Oostende Poké Bowl,51.227541,2.918388
Pizzeria Margarita,51.2319794,2.9146258
Visboetiek Emilie,51.2317511,2.9225484
Markies,51.2301494,2.9153112
Poule & Poulette,51.230868,2.9128059
Snack Oostende,51.2296711,2.9191153
Pakistan Royal Food,51.2337942,2.9164435
Sensai,51.2350673,2.9195529
Frituur Franky,51.2283855,2.9110218
King's Boutique,51.2301755,2.9152767
De Oostendse Friethoek,51.2275495,2.9416491
Ruby Frituur,51.2179472,2.8950886
Planet Yoghurt - Planet Pasta,51.2309915,2.9180292
Pitta Corner,51.2337831,2.9164431
Delco Snack's & Burger Shop,51.2179446,2.8831453
Harbour's Kitchen Vicogne Hoeve,51.2374909,2.9616512
Antalya Grill,51.2245941,2.9087838
Pitta Bon Appetit,51.2318024,2.9144097
McDonald's,51.205983,2.9049282
De Zeebries,51.2313242,2.9187381
Ronin,51.2325994,2.9164091
Jilles Beer & Burgers,51.2308922,2.9114752
Bella Italia,51.2326991,2.9144809
AFC - Antwerp Fried Chicken,51.217274,2.9074721
Tasty Subs,51.2255125,2.9134285
Pizza Planet,51.2301403,2.9149214
